NCT_id,matched_string,manual_string,criteria_string,parent_concept_id,parent_concept_name,w.mod,severity_modifier,severity_term,pre_post,snomed_id,snomed_name,c2q_snomed_id,c2q_snomed_name
NCT02123979,pain,severe pain," categorized as partial-boney or full-boney impactions

               -  Self-report of moderate or severe pain on a categorical scale with a minimum of 5
                  out of 10 on the numerical",4329041,Pain,TRUE,severe,severe,pre,76948002,Severe pain (finding),,
NCT02130089,malnutrition,severe malnutrition," interdialytic parenteral nutrition

          -  Transfer to another facility expected within 3 months

          -  Severe malnutrition, as assessed by Subjective Global Assessment (SGA) or other
  ",4090739,Nutritional disorder,FALSE,severe,severe,pre,29740003,Nutritional marasmus (disorder),,
NCT02131090,scoliosis,scoliosis,"men

          -  BMI < 50

        Exclusion Criteria:

          -  BMI >50

          -  Documented diagnosis of scoliosis and/or other significant lumbar spinal pathology

          -  Previous lu",72418,Scoliosis deformity of spine,TRUE,unmarked,,,298382003,Scoliosis deformity of spine,298382003,Scoliosis deformity of spine
NCT02148848,postoperative complication,posteroperative complication,"   -  Patients who were treated with bipolar hemiarthroplasty for more than 2 weeks

          -  Patients with postoperative complications which affect the postoperative
             rehabilitation p",4300243,Postoperative complication,FALSE,unmarked,,,385486001,Postoperative complication (disorder),,
NCT02152566,left ventricular systolic dysfunction,left ventricular systolic dysfunction,"       -  Heart Failure from ischemic or non-ischemic dilated cardiomyopathy for ≥ 6 months

          -  Left ventricular systolic dysfunction (LVEF ≤45% by echocardiography performed within
        ",4047088,Left ventricular systolic dysfunction,FALSE,unmarked,,,134401001,Left ventricular systolic dysfunction (disorder),,
NCT02163603,dementia,dementia,"cated with mental, neurological disorders (such as hypoxic-ischemic
             encephalopathy, epilepsy and dementia) or significant barriers to growth.

          -  Patients are complicated with c",4182210,Dementia,TRUE,unmarked,,,52448006,Dementia (disorder),,
NCT02169037,pericarditis,pericarditis," during the procedure

        EXCLUSION CRITERIA:

          -  atrial fibrillation from a reversible cause (e.g., surgery, hyperthyroidism,
             pericarditis)

          -  cardiac or thorac",4138837,Pericarditis,FALSE,unmarked,,,3238004,Pericarditis (disorder),,
NCT02184520,muscular dystrophy,muscular dystrophy,"ntent and
             there has been no clinical signs or symptoms of the malignancy for at least 5 years

          -  Neuromuscular disorders such as muscular dystrophy, spinal muscular atrophy,
  ",4247802,Muscular dystrophy,FALSE,unmarked,,,73297009,Muscular dystrophy (disorder),,
NCT02188628,visual impairment,severe visual impairment,"gers incompatible with interface with the H-man robot.

          -  Severe sensory impairment of affected limb

          -  Severe visual impairment, hemispatial neglect or homonymous hemianopia

  ",4265433,Visual impairment,FALSE,severe,severe,pre,397541004,Severe visual impairment (disorder),,
NCT02233478,visual impairment,visual impairment,"g systemic chemotherapy and/or radiotherapy.

          -  Active bleeding.

          -  Subject has any disorder (excluding illiteracy or visual impairment) that compromises
             the ability",4265433,Visual impairment,FALSE,unmarked,,,397540003,Visual impairment (disorder),,
NCT02255201,seizure disorder,seizure disorder,"           -  bipolar disorder

               -  pulmonary disease (including current asthma)

               -  Parkinson's disease

               -  Seizure disorder

               -  unstable th",4029498,Seizure disorder,FALSE,unmarked,,,128613002,Seizure disorder (disorder),,
NCT02279758,lactic acidosis,lactic acidosis," Patient with hypersensitivity to biguanides, kidney or liver failure, or other
             conditions that predispose to lactic acidosis;

          -  History of severe clinical or psychiatric illn",4239233,Lactic acidosis,TRUE,unmarked,,,91273001,Lactic acidosis (disorder),,
NCT02285699,major depressive disorder,major depressive disorder,"S score of ≥20.

          -  MADRS < 18

        Exclusion Criteria:

          -  Participants with current Major Depressive Disorder.

          -  Patients with significant suicidal ideation (MADR",4152280,Major depressive disorder,TRUE,severe,major,pre,370143000,Major depressive disorder (disorder),,
NCT02291237,left ventricular systolic dysfunction,left ventricular systolic dysfunction,"
          -  Known aortic valve stenosis (moderate or severe)

          -  Known coronary artery disease

          -  Left ventricular systolic dysfunction (ejection fraction < 50%)

          -  R",4047088,Left ventricular systolic dysfunction,TRUE,unmarked,,,134401001,Left ventricular systolic dysfunction (disorder),,
NCT02294994,cytopenia,thrombocytopenia,"rgery (including bypass surgery);

          -  Active bleeding

          -  Unexplained clinically significant bleeding, thrombocytopenia (platelet count < 100 x
             109/L) or history of th",4179922,Cytopenia,TRUE,unmarked,,,302215000,Thrombocytopenic disorder (disorder),,
NCT02303379,pericarditis,pericarditis,"able coronary heart disease

          -  state after heart surgeries

          -  state after myo-, endo-, or pericarditis

          -  state after heart- or lung-transplantation

          -  stat",4138837,Pericarditis,FALSE,unmarked,,,3238004,Pericarditis (disorder),,
NCT02304978,sepsis,severe sepsis,"able angina or myocardial infarction in the acute phase (not older
             than two months)

          -  Severe sepsis (hospitalization)

          -  Cirrhosis stage Child C

          -  Chron",132797,Sepsis,FALSE,severe,severe,post,91302008,Sepsis (disorder),,
NCT02327182,major depressive disorder,major depressive disorder,"  Exclusion Criteria:

          -  Diagnosis of any other disease which may cause dementia

          -  Diagnosis of major depressive disorder as defined by Diagnostic and Statistical Manual
       ",4152280,Major depressive disorder,FALSE,severe,major,pre,370143000,Major depressive disorder (disorder),,
NCT02331459,frailty,frailty,"rs old and older

          3. Frail geriatric patient according to the Cardiovascular Health Study (CHS) Frailty
             Phenotype

          4. Gait speed less than 0.8 m/s.

        Exclusion ",4086506,Frailty,FALSE,unmarked,,,248279007,Frailty (finding),,
NCT02337244,disability,disability,"sty based on physical exam and
             medical history, including diagnosis of severe knee pain and disability due to at
             least one of the following:

               -  rheumatoid art",4052648,Disability,TRUE,unmarked,,,21134002,Disability (finding),,
NCT02347007,major depression,major depression,"          -  Untreated or unstable hypothyroidism

          -  Hyperthyroidism

          -  Diagnosis of psychoses, bipolar disorder, major depression, severe personality
             disorder; hist",4152280,Major depressive disorder,TRUE,severe,major,pre,370143000,Major depressive disorder (disorder),,
NCT02349529,learning disability,learning disability,"roup process

          -  In mainstream schooling.

        Exclusion Criteria:

          -  Formal diagnosis of Learning Disability or attendance at a school for children with
             Special ",4085156,Developmental academic disorder,FALSE,unmarked,,,1855002,Developmental academic disorder (disorder),,
NCT02370160,systemic infection,uncontrolled systemic infection,"r infectious pulmonary parenchymal disease

          -  Presence of active CNS leukemia

          -  Presence of any uncontrolled systemic infection

          -  Documented uncontrolled seizure dis",132797,Sepsis,FALSE,unmarked,,,91302008,Sepsis (disorder),,
NCT02387853,allergic asthma,allergic asthma,"ks prior to V1 or during the trial.

        Exclusion Criteria (for subjects performing HPA axis assessment):

          -  A history of serious allergy, allergic asthma or serious allergic skin rash",4191479,Allergic asthma,TRUE,unmarked,,,389145006,Allergic asthma (disorder),,
NCT02403960,oral lesion,oral lesion,"  phenytoin, cyclosporin, chronic use of non-steroidal anti-inflammatory drugs),

          3. pregnancy,

          4. acute oral lesions or necrotizing ulcerative periodontitis and

          5. den",43530620,Oral lesion,FALSE,unmarked,,,1.071E+12,Oral lesion (finding),,
NCT02412215,corneal scar,corneal scar,"    -  Zonular fibres pathologies (phacodonesis, pseudoexfoliation syndrome)

          -  Irregular astigmatism (corneal scar, keratoconus, pterygium)

          -  Traumatic cataract

          -  P",4318992,Corneal scar,FALSE,unmarked,,,95726001,Corneal scar (disorder),,
NCT02422264,combined immunodeficiency disease,Severe Combined Immunodeficiency Disease,"virus and hepatitis
             B diseases.

          -  Any confirmed or suspected immunosuppressive or immunodeficient condition including
             severe combined immunodeficiency disease (SC",40483560,Combined immunodeficiency disease,TRUE,severe,severe,pre,31323000,Severe combined immunodeficiency disease (disorder),,
NCT02432638,cleft palate,cleft palate,"will include all infants regardless of syndromic diagnosis, other organ
             system abnormalities, cleft palate diagnosis or the presence of other concurrent
             craniofacial anomalie",135923,Cleft palate,FALSE,unmarked,,,87979003,Cleft palate (disorder),,
NCT02435407,cleft palate,cleft palate,"ly significant)

        Exclusion Criteria:

          -  •A child who has an anatomical cause for feeding problems such as cleft palate or
             significant oromotor abnormality

            ",135923,Cleft palate,TRUE,unmarked,,,87979003,Cleft palate (disorder),,
NCT02478398,asthma attack,life-threatening asthma attack,"as severe, unstable, or uncontrolled asthma, as judged by the clinical investigator,
             or has experienced a life-threatening asthma attack or an occurrence of any clinical
             dete",45771045,Acute exacerbation of asthma,TRUE,severe,life-threatening,post,708038006,Acute exacerbation of asthma (disorder),,
NCT02505893,cytopenia,thrombocytopenia,"tance abuse

          -  Baseline Hb below the lower limits of normal at the local laboratory; lymphopenia
             (<1,000/µL), neutropenia (<1,500/µL), or thrombocytopenia (platelets <100,000/µ",4179922,Cytopenia,FALSE,unmarked,,,302215000,Thrombocytopenic disorder (disorder),,
NCT02518594,cytopenia,neonatal alloimmune thrombocytopenia,"equire invasive in-utero assessment or
             treatment, for example significant red cell antigen sensitization or neonatal
             alloimmune thrombocytopenia

         14. Major maternal ",4179922,Cytopenia,TRUE,unmarked,,,240305000,Neonatal thrombocytopenia due to platelet alloimmunization (disorder),,
NCT02532335,hypothyroidism,hypothyroidism,"el surgery

        Inflammatory bowel disease

        Uncontrolled diabetes mellitus (fasting blood glucose >6.7 mmol/L), hypothyroidism or
        hyperthyroidism, or other significant endocrine di",140673,Hypothyroidism,TRUE,unmarked,,,40930008,Hypothyroidism (disorder),,
NCT02532647,chronic obstructive pulmonary disease,moderate to severe chronic obstructive pulmonary disease,"               Examples may include poorly controlled diabetes or hypertension, moderate to
                  severe chronic obstructive pulmonary disease, active hepatitis, heart failure or
         ",255573,Chronic obstructive lung disease,TRUE,severe,severe,pre,313299006,Severe chronic obstructive pulmonary disease (disorder),,
NCT02543060,gingivitis,gingivitis,"dence of:

          -  Have had a dental prophylaxis within 2 weeks of plaque sampling visits;

          -  Have taken antibiotics or used anti-gingivitis / anti-bacterial oral care products
       ",4281516,Gingivitis,FALSE,unmarked,,,66383009,Gingivitis (disorder),,
NCT02557633,asthma attack,life-threatening asthma attack,"rmittent asthma

               -  Emergency room visit or admission for asthma in the 12 months prior to Visit 1 or
                  history of a life-threatening asthma attack ever

               ",45771045,Acute exacerbation of asthma,FALSE,severe,life-threatening,post,708038006,Acute exacerbation of asthma (disorder),,
NCT02581488,hyperglycemia,severe hyperglycemia," metabolic instability (e.g., fever, chills,
             tachycardia, hypotension, confusion, vomiting, leukocytosis, acidosis, severe
             hyperglycemia, azotemia).

          6. A target ul",4214376,Hyperglycemia,TRUE,severe,severe,post,80394007,Hyperglycemia (disorder),,
NCT02590159,respiratory failure,hypercapnic respiratory failure,"  -  Uncontrolled or serious illness, including but not limited to: severe breathing
             disorders including hypercapnic respiratory failure, respiratory muscle weakness,
             bullous",4256228,Respiratory failure,TRUE,unmarked,,,709109004,Hypercapnic respiratory failure (disorder),,
NCT02605616,hyperglycemia,hyperglycemia,"-  Subjects with type 2 diabetes who are on stable doses of medications (except
             pioglitazone) to control hyperglycemia and have baseline HbA1c of 10% or lower.

          -  Hemoglobin mu",4214376,Hyperglycemia,FALSE,unmarked,,,80394007,Hyperglycemia (disorder),,
NCT02607254,hypothyroidism,hypothyroidism,"             symptomatic peripheral vascular disease including intermittent claudication,
             pernicious anemia, untreated hypothyroidism, venous insufficiency, or spinal stenosis.

         ",140673,Hypothyroidism,FALSE,unmarked,,,40930008,Hypothyroidism (disorder),,
NCT02614794,carrier,carrier,"ment at least 12 months prior to starting study
                  treatment are eligible.

          -  Clinically significant cardiopulmonary disease

          -  Carriers of Hepatitis B or Hepatiti",4106092,Carrier of disorder,TRUE,unmarked,,,29679002,Carrier of disorder (finding),,
NCT02617368,corneal scar,corneal scar,"xclusion Criteria:

          -  for all study groups:

               -  previous incisional eye surgery

               -  corneal scars and opacities

               -  history of herpetic keratiti",4318992,Corneal scar,FALSE,unmarked,,,95726001,Corneal scar (disorder),,
NCT02622724,muscular dystrophy,Duchenne muscular dystrophy,"            Investigator, it would be extremely unlikely that the patient would come off
             ventilation, e.g., motor neurone disease, Duchenne muscular dystrophy or rapidly
             prog",4247802,Muscular dystrophy,FALSE,unmarked,,,76670001,Duchenne muscular dystrophy (disorder),,
NCT02653963,postoperative complication,posteroperative complication,"    concomitant procedures such as deep vitrectomy or cataract surgery, and any major
             intra- or postoperative complication which could affect the outcomes of surgery.

          -  Patien",4300243,Postoperative complication,FALSE,unmarked,,,385486001,Postoperative complication (disorder),,
NCT02668835,muscular atrophy,progressive muscular atrophy,"e - Multiple sclerosis, amyotrophic lateral sclerosis, motor
             neuritis, progressive bulbar palsy, progressive muscular atrophy, spinal muscular
             atrophy

          -  Significa",78236,Muscle atrophy,FALSE,unmarked,,,88923002,Progressive muscular atrophy (disorder),N/A,
NCT02671942,chronic obstructive pulmonary disease,chronic obstructive pulmonary disease,"   .(postbronchodilator ≤0.7,，and a postbronchodilator FEV1≤50% predicted);

          3. Has a history of chronic obstructive pulmonary disease (COPD) (according to Global
             Initiative for",255573,Chronic obstructive lung disease,FALSE,unmarked,,,13645005,Chronic obstructive lung disease (disorder),,
NCT02684474,lactic acidosis,lactic acidosis,"tical ischemia, for example: elevated
             troponins, altered mental status, acute renal failure, lactic acidosis or evidence of
             central nervous system acute deficits

          3",4239233,Lactic acidosis,FALSE,unmarked,,,91273001,Lactic acidosis (disorder),,
NCT02686060,birth asphyxia,severe birth asphyxia,"""Outborn"" neonates,

          -  Newborns whose parental authority holders are minor,

          -  Newborns with severe birth asphyxia (cord blood pH<7.0 or Apgar score < 5 at 10 min),

          - ",4184996,Birth asphyxia,TRUE,severe,severe,pre,57284007,Severe birth asphyxia (disorder),,
NCT02697110,birth asphyxia,severe birth asphyxia,"ren aged 1-6 weeks

        Exclusion Criteria:

          -  Mothers of children with moderate to severe birth asphyxia or gross congenital
             anomalies

          -  Mothers who are unable",4184996,Birth asphyxia,TRUE,severe,severe,pre,57284007,Severe birth asphyxia (disorder),,
NCT02703389,panic,tympanic membrane,"rs of children with severe symptoms (severe otalgia, fever > 39 C, impending
             perforation of tympanic membrane)

          -  caregivers who cannot readily access medical care

          -",4196358,Panic,TRUE,unmarked,,,N/A,,,
NCT02706574,muscular dystrophy,muscular dystrophy,"drome/Chronic Inflammatory Demyelinating Polyneuropathy, Significant
             Neurodegenerative Disorders, Muscular Dystrophy, and/or Malignant Intracranial Mass
             with Significant Mass",4247802,Muscular dystrophy,FALSE,unmarked,,,73297009,Muscular dystrophy (disorder),,
NCT02709785,gingivitis,gingivitis,"riteria:

          -  Subjects between the ages of 18 to 80

          -  Subjects with a diagnosis of gingivitis or chronic periodontitis

          -  Entry levels of gingival inflammation and plaq",4281516,Gingivitis,FALSE,unmarked,,,66383009,Gingivitis (disorder),,
NCT02723942,respiratory failure,severe respiratory failure,"    3. renal function:Chronic kidney disease(CKD) phase 4 or more; renal insufficiency
                  phase Ⅲ or more.

               4. pulmonary function：severe respiratory failure symptoms, inv",4256228,Respiratory failure,TRUE,severe,severe,post,409622000,Respiratory failure (disorder),,
NCT02737930,degenerative disorder,neurodegenerative disorder,"r optic neuropathy

          -  Premorbid depression

          -  History of cognitive impairment, dementia, or neurodegenerative disorder

          -  History of seizure disorder

          -  His",4179873,Degenerative disorder,FALSE,unmarked,,,362975008,Degenerative disorder (disorder),,
NCT02741076,amyotrophy,diabetic amyotrophy,"on, severe or progressive lower extremity weakness or numbness, bowel or
             bladder dysfunction as a result of cauda equina compression, diabetic amyotrophy,
             meningitis, diskiti",78236,Muscle atrophy,TRUE,unmarked,,,39058009,Lumbosacral radiculoplexus neuropathy co-occurrent and due to diabetes mellitus (disorder),,
NCT02752100,respiratory failure,chronic respiratory failure,"       encephalopathy.

          -  History of dialysis.

          -  Chronic obstructive pulmonary disease (COPD), chronic respiratory failure or
             hypoxemia.

          -  Acute infecti",4256228,Respiratory failure,FALSE,unmarked,,,39871006,Chronic respiratory failure (disorder),,
NCT02767154,inflammatory disorder,Systemic inflammatory disorder,"  Ongoing septicaemia

          -  Ongoing antithrombotic treatment other than acetylsalicylic acid

          -  Systemic inflammatory disorders treated with corticosteroids

          -  Not able t",4027384,Inflammatory disorder,FALSE,unmarked,,,238149007,Systemic inflammatory response syndrome (disorder),,
NCT02797678,dermatitis,severe contact dermatitis," could increase the chance of seizures (e.g. stroke,
             aneurysm, brain surgery, structural brain lesion).

          -  Individuals who self-report severe contact dermatitis.

          -  ",45766714,Inflammatory dermatosis,TRUE,severe,severe,post,40275004,Contact dermatitis (disorder),,
NCT02807675,chronic obstructive pulmonary disease,chronic obstructive pulmonary disease,"medications to treat orthostatic hypotension (for example droxidopa, fludrocortisone),
             if they have severe dysautonomia

          -  have chronic obstructive pulmonary disease (COPD), as",255573,Chronic obstructive lung disease,TRUE,unmarked,,,13645005,Chronic obstructive lung disease (disorder),,
NCT02816593,gingivitis,gingivitis,"ons without
             whitening experience

        Exclusion Criteria:

          -  participants with gingivitis and periodontal disease, the total biofilm accumulation
             greater than ",4281516,Gingivitis,FALSE,unmarked,,,66383009,Gingivitis (disorder),,
NCT02822534,lactic acidosis,lactic acidosis,"    -  ever occured acute complications of diabetes such as diabetic ketoacidosis,high
             permeability syndrome or lactic acidosis.

          -  ever occured the severe hypoglycemia.

     ",4239233,Lactic acidosis,TRUE,unmarked,,,91273001,Lactic acidosis (disorder),,
NCT02850848,lactic acidosis,lactic acidosis," of drug or alcohol abuse during the past 24 weeks.

          2. Sensitivity to analogous drug.

          3. A clinically significant illness (such as lactic acidosis or severe hepatomegaly with
   ",4239233,Lactic acidosis,TRUE,unmarked,,,91273001,Lactic acidosis (disorder),,
NCT02858388,cleft palate,cleft palate,"sion Criteria:

          1. Outcomes of adenotonsillectomy

          2. Velo-palatal insufficiencies, cleft lip and cleft palate.

          3. Hearing loss of perceptual, and mixed type.

         ",135923,Cleft palate,FALSE,unmarked,,,87979003,Cleft palate (disorder),,
NCT02869906,sinus bradycardia,severe sinus bradycardia,"sfunction (Ejection Fraction <30%).

          -  Heart Failure

          -  Previous STEMI

          -  Severe sinus bradycardia

          -  Past medical history of Asthma

          -  TIMI flow",4171683,Sinus bradycardia,FALSE,severe,severe,pre,49044005,Severe sinus bradycardia (disorder),,
NCT02874586,cytopenia,thrombocytopenia,"            -  Patients with severe anemia (hemoglobin < 8 g/dL), leukopenia (WBC < 2500/mm3),
                  or thrombocytopenia (platelet count < 50,000/mm3);

               -  Severe disorders ",4179922,Cytopenia,TRUE,unmarked,,,302215000,Thrombocytopenic disorder (disorder),,
NCT02891083,postoperative complication,severe postoperative complication,"ugh Left thoracic or transhiatal approach, whereby complete
             lymphadenectomy is not achieved;

          2. Patients experienced severe postoperative complication and thus, are unable to
 ",4300243,Postoperative complication,TRUE,severe,severe,post,385486001,Postoperative complication (disorder),,
NCT02894593,oral lesion,oral lesion,"eeth per quadrant)

          -  age between 20 and 50 years old

        Exclusion Criteria:

          -  oral lesions

          -  severe periodontal problems (probing depth ≥5 mm or attachment lo",43530620,Oral lesion,TRUE,unmarked,,,1.071E+12,Oral lesion (finding),,
NCT02895087,hypothyroid,hypothyroid disorder," sleep disorder, Addison's disease, diabetes or thyroid/pituitary/adrenal/splenic
             disorder (note: corrected ` may be allowed if recent Thyroid
             Stimulating ",140673,Hypothyroidism,FALSE,unmarked,,,40930008,Hypothyroidism (disorder),,
NCT02895555,dementia,dementia,"ed distance of walking due to non-spinal related causes.

          8. Candidate for more than two-level intervention.

          9. Dementia assessed by the MMSE

         10. ASA 3+4

         11. A",4182210,Dementia,FALSE,unmarked,,,52448006,Dementia (disorder),,
NCT02904512,hyperglycemia,significant hyperglycemia or Diabetic Ketoacidosis (DKA)," require a hospital stay ≤3 days

          -  Pregnant patients

          -  Subjects that have significant hyperglycemia or Diabetic Ketoacidosis (DKA) that
             requires treatment with int",4214376,Hyperglycemia,TRUE,severe,significant,post,80394007,Hyperglycemia (disorder),,
NCT02938494,dermatitis,perioral dermatitis," interfere with clinical
             evaluations such as acne conglobata, acne fulminans, secondary acne, perioral
             dermatitis, clinically significant rosacea, gramnegative folliculitis, ",45766714,Inflammatory dermatosis,TRUE,unmarked,,,238751002,Perioral dermatitis (disorder),,
NCT02938741,respiratory failure,respiratory failure,"priate for HSCT. Life expectancy < 3 months because of
        other severe diseases. Presence of any fatal disease, including respiratory failure, heart
        failure, liver or kidney function fail",4256228,Respiratory failure,TRUE,unmarked,,,409622000,Respiratory failure (disorder),,
NCT02939378,hyperglycemia,hyperglycemia,"ism, porphyria, carnitine deficiency and
             pancreatitis

          2. History of uncontrolled hyperlipidemia or hyperglycemia.

          3. History of human immunodeficiency virus, or hepa",4214376,Hyperglycemia,FALSE,unmarked,,,80394007,Hyperglycemia (disorder),,
NCT02945956,respiratory failure,chronic respiratory failure,"ocytosis) or Hemolytic anemia patients caused by other reasons
             like autoimmunity.

          -  Severe background disease like chronic respiratory failure, circulatory failure,
          ",4256228,Respiratory failure,FALSE,unmarked,,,39871006,Chronic respiratory failure (disorder),,
NCT02952443,frailty,frailty,"f age

          -  Free of any serious injury in the last 6 months

          -  Deemed to express the pre-frailty phenotype, meaning they are classified as: Pre-frail
             according to the C",4086506,Frailty,TRUE,unmarked,,,248279007,Frailty (finding),,
NCT02954354,muscular dystrophy,muscular dystrophy,"scle (eg, cerebral palsy, epilepsy [seizure
                  disorders], stroke, intellectual disability, moderate to severe developmental
                  delay, muscular dystrophy, or spinal cord ",4247802,Muscular dystrophy,TRUE,unmarked,,,73297009,Muscular dystrophy (disorder),,
NCT02963870,intellectual disability,intellectual disability,"pt

          -  mental disorders significantly impair the self-assessment questionnaire capacities:
             Intellectual disability, autism spectrum disorder, acute psychotic state and,
        ",40277917,Intellectual disability,TRUE,unmarked,,,110359009,Intellectual disability (disorder),,
NCT02970994,birth asphyxia,birth asphyxia,"usion Criteria:

          -  Major congenital malformation

          -  Haemodynamic instability

          -  Birth asphyxia(Apgar score of less than 7 at 1 minute of age)

          -  Multiple ge",4184996,Birth asphyxia,FALSE,unmarked,,,413654009,Birth asphyxia (disorder),,
NCT02974426,postoperative complication,severe postoperative complication,"r basal cell
             carcinoma of the skin or carcinoma in situ of the cervix within the last 5 years;

          -  Patients with severe postoperative complications; and time to beginning of the",4300243,Postoperative complication,TRUE,severe,severe,post,385486001,Postoperative complication (disorder),,
NCT02975089,frailty,frailty,"usion Criteria:

          -  ≥ 65 years of age

          -  Have at least one of the modified Fried's Frailty phenotypes

          -  Sign informed consent form for study participation

        Mod",4086506,Frailty,FALSE,unmarked,,,248279007,Frailty (finding),,
NCT02975310,cleft palate,cleft palate," not be able to complete the follow-up appointments/evaluations

          6. Have significant oral structural abnormalities, e.g. unrepaired cleft palate

          7. Septal deviation requiring corr",135923,Cleft palate,TRUE,unmarked,,,87979003,Cleft palate (disorder),,
NCT02976714,carrier,carrier,"surance scheme

          -  women and men aged 12 to 30

          -  subject affected by cystic fibrosis, carrier of two severe mutations in trans (in the
             same allele) in the CFTR gene
",4106092,Carrier of disorder,TRUE,unmarked,,,29679002,Carrier of disorder (finding),,
NCT03018574,learning disorder,learning disorder,"             developmental disorder (autism), bipolar disorder, psychosis, language difficulties or
             learning disorders (reading disorders, mathematics disorders and disorders of written
 ",4085156,Developmental academic disorder,FALSE,unmarked,,,1855002,Developmental academic disorder (disorder),,
NCT03038789,lactic acidosis,lactic acidosis,"ollapse (shock), acute myocardial infarction, and
             septicemia.

          3. Patients with type 1 diabetes mellitus, lactic acidosis, or acute or chronic metabolic
             acidosis in",4239233,Lactic acidosis,FALSE,unmarked,,,91273001,Lactic acidosis (disorder),,
NCT03062410,carrier,carrier,"toxicities or adverse events.

          -  HIV positive.

          -  History of active chronic hepatitis including subjects who are carriers of Hepatitis B
             virus or Hepatitis C virus

",4106092,Carrier of disorder,FALSE,unmarked,,,29679002,Carrier of disorder (finding),,
NCT03078543,muscular atrophy,muscular atrophy,"ct has conditions that may interfere with the TKA survival or outcome (e.g.
             Paget's or Charcot's disease, vascular insufficiency, muscular atrophy, uncontrolled
             diabetes mell",78236,Muscle atrophy,FALSE,unmarked,,,88092000,Muscle atrophy (disorder),N/A,
NCT03087786,gingivitis,severe gingivitis,"r recurrent disease that could affect the site of application, the
                  action, absorption of the study treatment, or clinical assessment.

               4. Has severe gingivitis, period",4281516,Gingivitis,TRUE,severe,severe,pre,714477000,Severe gingivitis (disorder),,
NCT03090971,scoliosis,scoliosis,"a distinct osseous lesion, such as sphenoid wing dysplasia, pseudoarthrosis of the tibia, macrocephaly, or scoliosis - a first-degree relative with NF1 - Presen	",72418,Scoliosis deformity of spine,FALSE,unmarked,,,298382003,Scoliosis deformity of spine,298382003,Scoliosis deformity of spine
NCT03095300,respiratory failure,chronic respiratory failure," reliable estimate of the actual one.

          3. PaCO2 <45mmHg

          4. Absence of history of chronic respiratory failure or moderate to severe cardiac
             insufficiency (NYHA > II or",4256228,Respiratory failure,TRUE,unmarked,,,39871006,Chronic respiratory failure (disorder),,
NCT03108131,malnutrition,severe malnutrition,"least 7 days prior to enrollment)

          -  Uncontrolled intercurrent illness including, but not limited to diabetes,
             hypertension, severe infection, severe malnutrition, unstable ang",4090739,Nutritional disorder,TRUE,severe,severe,pre,29740003,Nutritional marasmus (disorder),,
NCT03111511,diarrhea,significant diarrhea,"             Disease [MDRD] formula12), significant cardiac, vascular, pulmonary, gastrointestinal
             (such as significant diarrhea, gastric stasis, or constipation that in the
             ",196523,Diarrhea,TRUE,severe,significant,post,62315008,Diarrhea (finding),,
NCT03118986,visual impairment,visual impairment,"id)

          -  Previous participation in this study.

          -  Participants in the optional assessment of nausea severity must be free of cognitive,
             hearing or visual impairment th",4265433,Visual impairment,FALSE,unmarked,,,397540003,Visual impairment (disorder),,
NCT03128086,multiple injuries,severe multiple injuries,"uromuscular disease,

          -  Spinal cord injury,

          -  Tracheostomy,

          -  Inability to be evaluated,

          -  Severe multiple injuries evaluated by the Injury Severity Scor",4096313,Multiple injuries,FALSE,severe,severe,pre,213389000,Severe multiple injuries (disorder),,
NCT03131752,chronic obstructive lung disease,chronic obstructive lung disease,"h genders, who are in a an exacerbation of the
             disease according to Global Initiative for Chronic Obstructive Lung Disease
             (GOLD,2015) refered by the doctors, hospitalized or",255573,Chronic obstructive lung disease,FALSE,unmarked,,,13645005,Chronic obstructive lung disease (disorder),,
NCT03141554,oral lesion,oral lesion,"ng consent and during the study,

          -  Good oral health (e.g., no visible bleeding, inflammation, oral ulcer or oral lesion,
             no need for dental treatment),

          -  Must have",43530620,Oral lesion,FALSE,unmarked,,,1.071E+12,Oral lesion (finding),,
NCT03153475,muscular dystrophy,muscular dystrophy," significant neurological or musculoskeletal disorder(s) or disease that
             may adversely affect gait or weight bearing activities (e.g., muscular dystrophy,
             multiple sclerosis,",4247802,Muscular dystrophy,TRUE,unmarked,,,73297009,Muscular dystrophy (disorder),,
NCT03159208,respiratory failure,respiratory failure,"  acute illness.

          3. Adults >/= 18yo of age.

        Exclusion Criteria

          1. Patients with respiratory failure due to neuromuscular disease

          2. Patients with respiratory ",4256228,Respiratory failure,FALSE,unmarked,,,409622000,Respiratory failure (disorder),,
NCT03166397,combined immunodeficiency disease,Severe Combined Immunodeficiency Disease,"arction, cardiac
             arrhythmias, obstructive or restrictive pulmonary disease.

          4. Any form of primary immunodeficiency (such as Severe Combined Immunodeficiency Disease
          ",40483560,Combined immunodeficiency disease,FALSE,severe,severe,pre,31323000,Severe combined immunodeficiency disease (disorder),,
NCT03171324,birth asphyxia,severe birth asphyxia,"uct transfusion prior to study enrolment

          2. Neonatal jaundice due to hemolytic anemia

          3. Severe birth asphyxia defined as 1 minute Apgar score 0-3 with or without moderate to
   ",4184996,Birth asphyxia,FALSE,severe,severe,pre,57284007,Severe birth asphyxia (disorder),,
